# tracer: function_graph
#
#     TIME         TASK/PID         DURATION                  FUNCTION CALLS
#      |            |    |           |   |                     |   |   |   |
5640901.755731 |    squid-920    |               |                aa_sock_msg_perm() {
5640901.755732 |    squid-920    |               |                  aa_sk_perm() {
5640901.755732 |    squid-920    |   0.116 us    |                    aa_label_sk_perm();
5640901.755733 |    squid-920    |   0.938 us    |                  } /* aa_sk_perm */
5640901.755733 |    squid-920    |   1.710 us    |                } /* aa_sock_msg_perm */
5640901.755734 |    squid-920    |   2.335 us    |              } /* apparmor_socket_recvmsg */
5640901.755734 |    squid-920    |   2.993 us    |            } /* security_socket_recvmsg */
5640901.755734 |    squid-920    |               |            inet_recvmsg() {
5640901.755735 |    squid-920    |               |              tcp_recvmsg() {
5640901.755735 |    squid-920    |               |                lock_sock_nested() {
5640901.755735 |    squid-920    |   0.091 us    |                  _cond_resched();
5640901.755736 |    squid-920    |   0.125 us    |                  _raw_spin_lock_bh();
5640901.755737 |    squid-920    |   0.110 us    |                  __local_bh_enable_ip();
5640901.755737 |    squid-920    |   2.096 us    |                } /* lock_sock_nested */
5640901.755738 |    squid-920    |               |                skb_copy_datagram_iter() {
5640901.755738 |    squid-920    |               |                  __check_object_size() {
5640901.755738 |    squid-920    |   0.105 us    |                    __virt_addr_valid();
5640901.755740 |    squid-920    |   0.090 us    |                    check_stack_object();
5640901.755741 |    squid-920    |   2.461 us    |                  } /* __check_object_size */
5640901.755741 |    squid-920    |   0.516 us    |                  __copy_user_ll();
5640901.755742 |    squid-920    |   4.311 us    |                } /* skb_copy_datagram_iter */
5640901.755743 |    squid-920    |   0.110 us    |                tcp_rcv_space_adjust();
5640901.755743 |    squid-920    |               |                __kfree_skb() {
5640901.755744 |    squid-920    |               |                  skb_release_all() {
5640901.755744 |    squid-920    |               |                    skb_release_head_state() {
5640901.755744 |    squid-920    |   0.110 us    |                      sock_rfree();
5640901.755745 |    squid-920    |   0.767 us    |                    } /* skb_release_head_state */
5640901.755745 |    squid-920    |               |                    skb_release_data() {
5640901.755746 |    squid-920    |               |                      skb_free_head() {
5640901.755746 |    squid-920    |   0.116 us    |                        page_frag_free();
5640901.755747 |    squid-920    |   0.852 us    |                      } /* skb_free_head */
5640901.755747 |    squid-920    |   1.484 us    |                    } /* skb_release_data */
5640901.755747 |    squid-920    |   3.429 us    |                  } /* skb_release_all */
5640901.755748 |    squid-920    |               |                  kfree_skbmem() {
5640901.755748 |    squid-920    |               |                    kmem_cache_free() {
5640901.755748 |    squid-920    |   0.130 us    |                      __slab_free();
5640901.755749 |    squid-920    |   0.777 us    |                    } /* kmem_cache_free */
5640901.755749 |    squid-920    |   1.419 us    |                  } /* kfree_skbmem */
5640901.755750 |    squid-920    |   6.041 us    |                } /* __kfree_skb */
5640901.755750 |    squid-920    |               |                tcp_cleanup_rbuf() {
5640901.755750 |    squid-920    |               |                  tcp_send_ack() {
5640901.755751 |    squid-920    |   0.096 us    |                    bictcp_cwnd_event();
5640901.755751 |    squid-920    |               |                    __alloc_skb() {
5640901.755752 |    squid-920    |   0.225 us    |                      kmem_cache_alloc();
5640901.755753 |    squid-920    |               |                      __kmalloc_reserve.isra.42() {
5640901.755753 |    squid-920    |               |                        __kmalloc_track_caller() {
5640901.755753 |    squid-920    |   0.090 us    |                          kmalloc_slab();
5640901.755754 |    squid-920    |   0.992 us    |                        } /* __kmalloc_track_caller */
5640901.755755 |    squid-920    |   1.644 us    |                      } /* __kmalloc_reserve.isra.42 */
5640901.755755 |    squid-920    |   0.116 us    |                      ksize();
5640901.755756 |    squid-920    |   3.930 us    |                    } /* __alloc_skb */
5640901.755756 |    squid-920    |               |                    tcp_transmit_skb() {
5640901.755756 |    squid-920    |               |                      tcp_established_options() {
5640901.755757 |    squid-920    |               |                        tcp_v4_md5_lookup() {
